,Species,Abundance,Treatment,Time_point,Treatment_Num
2,Bacteroidetes,0.498076198,Non-drinkers,1,1
3,Bacteroidetes,0.511650676,Non-drinkers,2,1
4,Bacteroidetes,0.551557618,Non-drinkers,3,1
6,Bacteroidetes,0.755195386,Non-drinkers,1,1
7,Bacteroidetes,0.80716413,Non-drinkers,2,1
8,Bacteroidetes,0.565137181,Non-drinkers,3,1
10,Bacteroidetes,0.647606985,Non-drinkers,1,1
11,Bacteroidetes,0.489612842,Non-drinkers,2,1
12,Bacteroidetes,0.349767682,Non-drinkers,3,1
14,Bacteroidetes,0.633239319,Non-drinkers,1,1
15,Bacteroidetes,0.412717247,Non-drinkers,2,1
16,Bacteroidetes,0.488000517,Non-drinkers,3,1
18,Bacteroidetes,0.492825436,Non-drinkers,1,1
19,Bacteroidetes,0.607386458,Non-drinkers,2,1
20,Bacteroidetes,0.552799294,Non-drinkers,3,1
21,Bacteroidetes,0.78963132,Non-drinkers,2,1
22,Bacteroidetes,0.873634639,Non-drinkers,3,1
24,Bacteroidetes,0.28839241,Non-drinkers,1,1
25,Bacteroidetes,0.400466099,Non-drinkers,2,1
26,Bacteroidetes,0.684161548,Non-drinkers,3,1
28,Bacteroidetes,0.313632577,Non-drinkers,1,1
29,Bacteroidetes,0.468808394,Non-drinkers,2,1
30,Bacteroidetes,0.52641369,Non-drinkers,3,1
32,Bacteroidetes,0.554212798,Non-drinkers,1,1
33,Bacteroidetes,0.579286068,Non-drinkers,2,1
34,Bacteroidetes,0.814162754,Non-drinkers,3,1
37,Bacteroidetes,0.701268882,Non-drinkers,1,1
38,Bacteroidetes,0.499682021,Non-drinkers,2,1
39,Bacteroidetes,0.537898061,Non-drinkers,3,1
41,Bacteroidetes,0.407369876,Non-drinkers,1,1
42,Bacteroidetes,0.367182335,Non-drinkers,2,1
43,Bacteroidetes,0.689635266,Non-drinkers,3,2
45,Bacteroidetes,0.697198538,Drinkers,1,2
46,Bacteroidetes,0.518766594,Drinkers,2,2
47,Bacteroidetes,0.367610707,Drinkers,3,2
