#SampleID	k__Bacteria;p__Firmicutes	k__Bacteria;p__Bacteroidetes
CC01A	0.43855867	0.508249373
CC01B	0.469935873	0.498076198
CC01C	0.47288036	0.511650676
CC01D	0.416437837	0.551557618
CC02A	0.251613371	0.630374882
CC02B	0.218057075	0.755195386
CC02C	0.169465586	0.80716413
CC02D	0.346688742	0.565137181
CC03A	0.24740454	0.714059476
CC03B	0.326698634	0.647606985
CC03C	0.43427762	0.489612842
CC03D	0.6015746	0.349767682
CC04A	0.306588173	0.634144728
CC04B	0.330199519	0.633239319
CC04C	0.520974384	0.412717247
CC04D	0.455139401	0.488000517
CC05A	0.582701597	0.37361165
CC05B	0.477650459	0.492825436
CC05C	0.346309544	0.607386458
CC05D	0.4198124	0.552799294
CC06C	0.188868288	0.78963132
CC06D	0.094512395	0.873634639
CC07A	0.558780973	0.36471333
CC07B	0.677754016	0.28839241
CC07C	0.572977074	0.400466099
CC07D	0.265028848	0.684161548
CC08A	0.399098382	0.479846195
CC08B	0.652103728	0.313632577
CC08C	0.507043266	0.468808394
CC08D	0.438616071	0.52641369
CC09A	0.406907952	0.557073256
CC09B	0.412460124	0.554212798
CC09C	0.392332655	0.579286068
CC09D	0.15258216	0.814162754
CC10A	0.396332569	0.508856012
CC11A	0.390245634	0.575252023
CC11B	0.27693857	0.701268882
CC11C	0.463795766	0.499682021
CC11D	0.425651373	0.537898061
CC12A	0.443746364	0.257126236
CC12B	0.556241363	0.407369876
CC12C	0.607166468	0.367182335
CC12D	0.289950144	0.689635266
CC13A	0.610728745	0.348178138
CC13B	0.24725944	0.697198538
CC13C	0.446355298	0.518766594
CC13D	0.567624832	0.367610707
CC14A	0.338345462	0.621789384
CC14B	0.179902823	0.790273938
CC14C	0.387395013	0.540790416
CC14D	0.592745536	0.281361607
CC15A	0.185673424	0.729075986
CC15B	0.085976293	0.897004645
CC15C	0.345755778	0.615013295
CC15D	0.258951643	0.714470284
CC16A	0.264048363	0.697488538
CC16B	0.241326448	0.724544134
CC16C	0.419016031	0.557029666
CC16D	0.415911243	0.553511027
CC17A	0.159117609	0.77975025
CC17B	0.295752793	0.639386416
CC17C	0.669619568	0.284462818
CC17D	0.543589744	0.423809524
CC18A	0.492555628	0.365265052
CC18C	0.229998155	0.746448558
CC18D	0.531389168	0.425872719
CC19A	0.45399078	0.508225617
CC19B	0.179639859	0.771289189
CC19C	0.563737134	0.328695849
CC19D	0.576926839	0.357687793
CC20A	0.419834591	0.495792223
CC20B	0.27144875	0.649880243
CC20C	0.293772369	0.671760916
CC20D	0.240621795	0.717709289
CC21A	0.126727486	0.820431759
CC21B	0.124241532	0.846303387
CC21C	0.274503037	0.694919934
CC21D	0.179754475	0.784719841
CC22A	0.635199886	0.321962383
CC22B	0.417727106	0.550128724
CC22C	0.680392534	0.238599192
CC22D	0.710876285	0.252677737
CC23A	0.537760417	0.435677083
CC23B	0.542771967	0.379768582
CC23C	0.68596563	0.25695581
CC23D	0.268139687	0.60092688
CC24A	0.413372625	0.488161772
CC24B	0.210569725	0.7264941
CC24D	0.561941592	0.398453127
