#SampleID	shannon	PD_whole_tree	observed_species	chao1
CC07B	6.323713768	58.27983	559	658.3793103
CC11B	3.268972229	57.4237	586	771.0625
CC05C	4.169563275	55.77163	576	741.2359551
CC01D	4.695914125	59.89263	628	829.1041667
CC14B	2.475895147	46.77673	449	580.4130435
CC05D	4.497628019	61.08518	657	844.0666667
CC09C	4.584309922	55.58245	560	716.9587629
CC13D	6.210299034	51.87177	446	581.09375
CC20C	3.659447899	57.17665	589	717.3425926
CC20D	3.237275687	53.63501	526	774.5111111
CC04C	5.937907182	54.21011	500	663.3783784
CC04B	4.343479651	54.37622	549	724.0659341
CC12D	4.421258515	52.89724	505	734.2
CC22B	4.344715183	50.67549	465	770.1052632
CC16D	4.294510715	54.17414	545	749.0340909
CC24D	5.199479008	53.84316	511	700.0659341
CC18D	5.181160104	51.8453	496	653.4137931
CC02D	4.243412892	56.43887	582	761.6534653
CC14D	6.080326509	56.60368	536	642.7407407
CC19D	6.310677794	56.99513	526	667.0144928
CC23C	6.527291713	53.34496	459	616.2295082
CC06C	2.330593104	46.20444	464	607.9285714
CC17C	6.17815961	58.00178	539	644.7590361
CC15B	1.575054732	41.6342	417	533.4069767
CC09B	5.021782325	61.93389	636	805.3043478
CC13C	3.999832347	51.0551	486	707.6666667
CC16B	3.305540617	56.86978	612	730.7190083
CC17B	3.967715448	54.30784	571	715.8571429
CC03B	3.441334057	43.61618	379	541.358209
CC21D	3.153151072	48.76242	462	647.244186
CC19C	6.076512699	50.48213	441	665.3035714
CC17D	6.114427913	51.60542	483	622.5696203
CC12B	5.206343719	47.44562	439	590.0833333
CC23D	3.39318132	48.6512	450	682.5
CC24B	3.258397761	44.37184	387	544.2916667
CC08C	5.407761234	55.10815	539	712.88
CC02B	3.429583374	53.98016	543	722.106383
CC20B	3.784244245	51.10864	505	674.0681818
CC11C	4.193096603	46.95432	413	546.9873418
CC01C	5.012303918	54.2766	521	656.84375
CC12C	5.007393382	47.83087	393	591.1538462
CC02C	2.288596478	48.3309	472	598.1098901
CC08B	5.531059791	58.38871	577	716.4845361
CC11D	4.521448821	57.69821	594	736.2410714
CC08D	4.623988616	51.0865	455	706.2258065
CC15C	3.051413266	47.64941	474	626.1666667
CC06D	1.977376597	49.82525	505	686.011236
CC07C	4.196348607	45.92461	424	568.5454545
CC23B	6.137276661	60.3197	576	749.1851852
CC01B	4.9618305	56.32479	544	671.1651376
CC18C	2.705949688	44.55715	416	573.0394737
CC21B	2.417984602	47.88042	449	562.3125
CC05B	5.092581092	52.40097	467	638.2658228
CC03C	5.435461444	49.65563	438	612.4583333
CC09D	2.520581239	45.15453	411	644.1506849
CC22D	6.18759064	56.46922	503	594.8795181
CC04D	5.654527259	53.18228	495	636.5625
CC15D	3.306048245	53.84733	518	701.0681818
CC14C	3.573135236	37.13127	326	506.125
CC03D	5.665111369	54.866	511	690.6962025
CC21C	2.744969802	42.84015	390	499.3258427
CC13B	3.209011276	39.90756	329	542.2941176
CC19B	2.632255448	44.82217	388	577.8767123
CC07D	2.916221064	40.94266	375	524.7674419
CC16C	3.579217432	36.7007	289	513.3181818
CC22C	6.069284787	37.65283	258	331.2
