OTU	Test-Statistic	P	FDR_P	Bonferroni_P	1_mean	2_mean	taxonomy
denovo16558	40.63381242	1.84E-10	1.66E-07	1.66E-07	110.34375	13.35294118	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
denovo24858	33.34699624	7.71E-09	3.48E-06	6.97E-06	332.75	34.58823529	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
denovo21459	29.81659385	4.75E-08	1.43E-05	4.29E-05	157.375	26.76470588	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
denovo24419	26.63627495	2.46E-07	5.55E-05	0.000222013	6.125	0.117647059	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
denovo8384	22.58473928	2.01E-06	0.000363544	0.001817722	2.9375	0.088235294	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
denovo15320	22.22316444	2.43E-06	0.00036571	0.002194258	1.5	0.058823529	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__reuteri
denovo23001	19.85435241	8.36E-06	0.001079276	0.00755493	2.375	0.058823529	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
denovo14901	19.53978337	9.85E-06	0.001113347	0.008906773	2.1875	0.352941176	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
denovo28895	18.18587991	2.00E-05	0.002012493	0.018112435	1.09375	0.205882353	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
denovo5862	17.51281157	2.85E-05	0.002579819	0.025798187	45.28125	3.294117647	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__producta
denovo13065	16.10336179	6.00E-05	0.004929058	0.054219635	3.75	1.058823529	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
denovo20937	14.47103808	0.000142331	0.010722281	0.128667373	5.125	4.676470588	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
denovo1342	13.80407222	0.000202896	0.014109075	0.183417969	1.1875	0.235294118	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
denovo18441	13.29454394	0.00026618	0.01619918	0.240626344	1.6875	0.441176471	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
denovo408	13.27623542	0.000268792	0.01619918	0.242987696	1.0625	0.058823529	k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae; g__Turicibacter; s__
