#OTU ID	CC07B	CC11B	CC05C	CC01D	CC14B	CC05D	CC09C	CC13D	CC20C	CC20D	CC04C	CC04B	CC12D	CC22B	CC16D	CC24D	CC18D	CC02D	CC14D	CC19D	CC23C	CC06C	CC17C	CC15B	CC09B	CC13C	CC16B	CC17B	CC03B	CC21D	CC19C	CC17D	CC12B	CC23D	CC24B	CC08C	CC02B	CC20B	CC11C	CC01C	CC12C	CC02C	CC08B	CC11D	CC08D	CC15C	CC06D	CC07C	CC23B	CC01B	CC18C	CC21B	CC05B	CC03C	CC09D	CC22D	CC04D	CC15D	CC14C	CC03D	CC21C	CC13B	CC19B	CC07D	CC16C	CC22C
denovo1	2	1	1	1	3	1	1	1	1	1	2	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo67	1	0	0	0	0	5	0	0	1	0	0	0	0	0	0	3	0	1	0	4	2	0	0	0	3	0	1	0	0	0	1	0	0	0	0	2	2	0	0	4	0	0	2	0	0	1	1	0	3	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0
denovo69	0	1	0	1	0	1	2	0	2	1	0	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	1	0	0	2	2	1	0	0	1	0	0	0	2	1	0	0	0	1	0	0	0	2	0	0	0	1	0	1	2	1	0	0	0	0	0	0	0
denovo164	9	4	5	0	1	8	0	0	0	0	1	0	2	0	0	1	0	3	1	1	5	0	14	1	1	0	0	0	0	1	0	1	0	3	0	5	4	0	2	0	0	1	1	0	1	0	2	0	0	0	2	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
denovo165	6	25	27	55	19	66	34	21	67	22	24	67	22	10	17	39	15	24	42	30	2	25	19	16	117	22	43	35	32	22	2	22	33	26	13	33	47	28	13	32	15	14	51	33	35	39	33	10	12	49	7	18	33	26	24	22	9	31	14	39	31	4	5	12	4	2
denovo188	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	4	0	0	0	0	0	4	1	1	0	0	1	2	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
denovo203	4	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	12	3	22	0	2	0	5	0	0	1	0	0	5	3	0	1	0	6	3	0	0	2	0	0	3	5	1	0	0	0	0	1	0	0	1	1	0	2	1	0	0	1	0	0	0	1	0	0
denovo284	15	3	8	7	46	11	3	7	1	6	3	8	3	1	3	7	15	6	2	8	5	7	9	6	5	2	2	7	4	10	1	4	0	8	27	5	5	2	0	1	3	15	2	5	0	1	8	38	3	4	4	9	1	3	31	1	7	5	24	1	1	36	1	0	3	11
denovo296	1	0	3	0	0	1	6	0	1	0	0	0	2	0	0	0	0	0	0	0	0	5	0	1	0	1	12	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	1	0	1	2	4	1	0	0	0	0
denovo309	3	5	0	14	0	0	10	2	0	1	5	0	0	13	1	1	12	2	0	1	5	1	36	0	18	4	1	7	0	1	11	0	8	0	0	2	0	2	12	1	26	0	26	25	1	1	0	0	1	2	0	0	2	21	0	9	6	0	0	0	0	0	1	0	0	4
denovo312	0	0	0	2	1	0	2	0	2	0	1	1	0	0	0	2	0	0	0	1	0	2	0	1	0	0	2	1	0	0	0	0	1	0	0	1	2	1	0	1	0	0	0	0	1	5	1	0	1	2	0	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0
denovo325	0	4	5	0	0	0	2	4	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	8	0	0	0	1	0	0	0	5	7	0	1	0	0	7	0	4	0	10	4	0	0	1	1	4	0	0	0	0	1	0	1	0	0	0	5	0	1	0	0	0	0
denovo377	1	0	0	1	1	0	1	1	0	0	2	2	0	0	0	1	0	2	12	1	4	0	0	0	0	0	0	1	0	5	1	0	1	0	0	3	2	3	1	1	0	0	1	2	1	0	0	0	3	3	0	0	3	2	0	2	0	0	0	0	0	0	0	0	0	0
denovo408	0	1	4	0	0	0	3	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	1	0	3	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0
denovo414	2	1	0	1	4	3	1	0	4	3	0	4	3	0	1	0	0	0	0	0	0	6	0	4	1	0	2	1	0	0	0	0	1	3	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	2	0	3	2	0	0
denovo428	2	0	0	0	1	0	0	3	6	6	0	0	0	0	4	10	1	2	0	4	0	1	2	0	0	0	0	0	0	0	0	0	0	1	3	0	0	3	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	2	0	3	0	1	0	0	0
denovo528	0	1	3	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
denovo549	5	1	1	0	0	0	1	0	16	3	0	0	0	1	4	0	1	1	0	0	0	5	1	0	2	1	0	3	1	0	1	2	0	4	4	1	0	1	0	0	1	3	0	0	0	4	5	14	0	1	2	0	0	0	0	1	0	1	4	1	1	0	1	4	1	0
denovo604	1	0	0	9	0	4	1	0	7	5	9	6	1	3	1	4	5	1	18	1	2	0	7	3	1	0	2	29	0	1	1	0	12	1	0	5	0	8	0	6	2	0	20	0	6	1	0	0	6	6	0	0	0	0	1	10	5	5	1	2	0	0	3	0	1	1
denovo704	0	1	15	1	4	0	1	0	1	6	0	0	0	0	3	0	2	3	1	0	0	9	1	11	0	0	2	4	1	0	0	2	0	1	12	1	0	1	0	0	0	13	0	0	0	2	5	6	1	0	0	1	1	1	3	0	0	2	0	0	0	2	1	1	1	0
denovo774	0	0	0	1	1	0	0	0	2	2	0	0	1	1	1	1	0	1	0	0	0	3	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	1	1	0	3	0	0	0	1	0	0	0	1	0	0	1	0	0	2	0	3	0	0	0
denovo779	1	4	3	5	1	2	0	1	2	5	0	0	0	1	8	6	6	4	3	1	0	18	0	2	0	5	6	3	0	0	3	2	0	0	1	0	0	3	0	2	0	8	0	1	0	3	1	1	1	10	3	2	8	0	0	1	1	4	0	1	5	3	1	1	4	0
denovo847	3	7	296	3	114	31	29	1	191	253	179	34	25	2	153	72	167	913	36	341	7	94	5	38	52	89	5	1	1	105	2	0	97	22	440	2	1	0	4	1	1	122	0	4	125	246	124	118	34	3	7	85	1	1	54	8	171	144	47	4	95	172	334	324	10	0
denovo858	1	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	6	0	6	0	1	0	0	0	0	0	0	3	0	6	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	3	1	0	3	0	0	1	0	1	0	1	0
denovo869	12	0	3	4	0	3	5	2	2	1	3	19	6	9	0	6	6	4	9	10	3	0	19	0	14	2	0	7	3	2	0	15	2	3	0	2	6	9	2	9	0	0	9	18	0	1	4	0	10	6	2	3	1	2	0	1	7	6	0	3	0	1	2	0	0	0
denovo881	1	2	3	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	2	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	3	0	0	5	0	2	0	1	0	0	0	0	0	0
denovo906	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	8	4	2	0	3	0	0	0	0	11	0	1	8	2	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0
denovo914	0	1	0	0	0	0	4	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	2	0	0	6	2	7	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
denovo937	0	3	2	3	6	49	2	0	74	2	0	2	11	1	12	1	0	1	0	0	2	1	1	2	0	4	1	0	0	0	0	1	0	0	1	8	0	0	1	0	0	0	0	0	0	1	5	0	1	0	0	0	2	0	1	1	0	4	0	1	1	1	2	0	1	0
denovo1116	0	1	0	0	0	4	1	0	2	0	1	0	0	0	0	0	1	0	2	0	1	0	2	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	3	2	0	1	0	1	5	0	0	0	0	0	0	0	0
denovo1178	0	0	3	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	1	0	0	1	0	2	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	1	0
denovo1238	4	0	2	0	0	2	0	1	0	0	2	2	0	1	0	0	0	2	2	0	0	0	3	0	0	3	1	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	2	0	1	2	1	0	6	1	0	0	0	0	0	1	1	0	0	3	0	0	1	0	0	0
denovo1279	44	129	4	5	11	91	10	2	36	15	197	115	16	69	5	105	269	57	8	15	11	9	7	3	31	43	8	4	10	15	116	25	3	7	10	5	19	88	7	122	2	8	16	7	7	3	14	3	86	75	15	16	28	22	0	12	106	13	38	6	2	0	23	6	0	0
denovo1334	4	1	1	3	0	1	0	0	0	0	0	0	0	0	1	1	3	1	3	7	18	1	3	0	0	0	1	7	0	1	4	3	1	0	0	1	1	0	1	3	0	1	0	0	1	0	2	0	6	4	1	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0
denovo1342	3	2	0	1	0	1	2	0	0	0	3	1	0	0	0	0	0	1	2	0	0	0	1	1	1	0	0	0	1	0	2	0	3	0	0	1	0	0	0	0	1	0	4	3	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	5	0	0	0	1	0	0
denovo1355	16	12	8	28	2	8	12	20	18	2	14	15	34	2	4	17	20	3	17	91	33	1	31	1	42	1	2	6	5	5	2	2	8	7	2	8	17	6	2	26	5	0	11	8	3	2	8	2	44	13	3	2	4	22	0	9	10	9	0	19	0	1	3	1	0	0
denovo1368	26	619	345	27	12	246	466	773	23	18	23	16	215	123	22	19	17	21	192	25	225	9	34	8	690	696	14	14	437	11	13	20	671	1693	3	88	10	17	991	49	1191	12	1610	899	160	17	19	19	788	30	4	8	14	758	11	846	16	13	19	1564	11	70	10	7	6	333
denovo1436	1	0	3	2	0	1	3	0	2	0	0	2	0	0	0	0	0	2	0	1	1	0	1	1	0	0	3	1	0	1	0	1	0	1	1	1	1	1	0	0	4	1	1	2	2	0	1	0	0	2	1	2	3	0	0	0	2	0	0	0	0	0	0	0	0	0
denovo1439	0	5	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	7	0	1	0	0	2	2	0	2	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	3	0	0	0	3	0	3	0	1	0	0	1	1	1	0	2	2	0	1	2	0
denovo1446	1	0	0	2	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
denovo1495	26	5	15	39	51	21	8	13	17	8	17	43	11	1	33	26	18	19	51	84	15	4	94	10	37	14	13	8	17	15	40	53	5	7	7	31	53	16	5	22	7	7	26	9	6	22	11	20	36	45	15	6	31	14	3	14	31	10	11	22	8	6	7	1	4	6
denovo1507	2	5	3	1	6	3	3	0	4	4	0	1	2	2	3	1	0	2	0	0	0	8	0	4	2	5	4	3	2	1	0	1	0	0	1	1	1	1	0	1	0	0	0	3	5	6	8	1	0	0	3	1	1	0	6	0	0	7	7	0	0	0	5	0	0	0
denovo1510	0	0	1	0	0	0	0	0	1	2	0	0	1	3	1	0	0	0	1	0	0	5	0	1	0	2	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	3	0	0	2	3	0	0	0	0
denovo1540	12	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	1	1	1	0	1	1	0	46	0	0	0	0	0	0	2	6	1	1	99	0	0	0	0	5	0	27	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
denovo1556	0	1	3	3	2	1	1	0	3	3	1	1	2	2	0	1	1	0	2	0	0	0	0	0	2	2	0	0	2	0	0	0	0	3	1	0	1	0	0	0	0	0	0	3	1	2	0	0	0	1	0	2	0	0	3	0	0	1	0	0	0	1	0	1	0	0
denovo1591	10	0	5	1	0	7	0	2	0	0	1	0	2	0	0	2	2	6	11	11	4	1	46	0	2	0	6	1	0	0	11	16	0	7	1	11	3	1	0	8	0	0	2	2	3	0	1	0	9	3	6	0	0	2	0	2	1	2	0	5	1	0	0	0	0	0
denovo1595	13	3	2	5	0	3	2	0	9	0	6	2	4	4	0	5	11	2	83	13	1	1	15	0	10	3	0	3	2	0	13	8	1	0	0	13	5	12	2	8	2	0	7	6	2	0	2	1	7	6	2	1	1	2	2	4	0	4	2	1	2	1	0	0	0	4
