X.SampleID	denovo10476	denovo10500	denovo10580	denovo10689	denovo11070	denovo11109	denovo11307	denovo11317	denovo11329	denovo11746	denovo11860	denovo12162	denovo12172	denovo12184	denovo12250	denovo12310	denovo12620	denovo12832	denovo12919	denovo13046	denovo13065	denovo13349	denovo1342	denovo13472	denovo13514	denovo13573	denovo13621	denovo1368	denovo13718	denovo13758	denovo14180	denovo14892	denovo14901	denovo15320	denovo15416	denovo15496	denovo16063	denovo16092	denovo16260	denovo16269	denovo16405	denovo16460	denovo165	denovo16558	denovo16864	denovo1691	denovo1711	denovo17228	denovo17423	denovo17429	denovo17447	denovo17779	denovo17915	denovo18043	denovo18143	denovo18396	denovo18441	denovo18896	denovo19209	denovo19344	denovo19374	denovo19611	denovo19649	denovo20492	denovo20579	denovo20800	denovo20937	denovo21324	denovo21459	denovo21983	denovo2220	denovo22447	denovo22546	denovo23001	denovo23821	denovo23836	denovo23997	denovo24142	denovo24389	denovo24419	denovo24488	denovo24599	denovo24670	denovo2484	denovo24858	denovo24947	denovo26196	denovo26677	denovo26721	denovo26790	denovo27168	denovo27528	denovo28045	denovo28062	denovo28103	denovo2828	denovo28323	denovo28386	denovo28895	denovo28982	denovo29980	denovo30178	denovo30355	denovo30626	denovo30628	denovo30753	denovo30806	denovo30968	denovo31251	denovo31424	denovo31610	denovo31851	denovo31880	denovo3248	denovo325	denovo3355	denovo3488	denovo3513	denovo3515	denovo3843	denovo3923	denovo3933	denovo4061	denovo408	denovo4208	denovo428	denovo4290	denovo4804	denovo4831	denovo4929	denovo4966	denovo5289	denovo5548	denovo5862	denovo6085	denovo6622	denovo6673	denovo7064	denovo7069	denovo7203	denovo7394	denovo7781	denovo779	denovo7971	denovo8384	denovo8453	denovo8554	denovo8653	denovo8871	denovo9029	denovo914	denovo9223	denovo9845	Time_point	EtOH_intake	Description
CC01B	2	7	0	3	2	0	5	12	6	28	0	2	0	3	0	0	4	28	0	28	2	0	0	0	0	10	0	30	1	0	7	3	0	0	0	2	1	15	0	72	0	0	49	24	0	12	0	68	7	14	5	1	2	11	35	0	4	0	52	1	3	4	4	0	2	10	15	0	13	0	0	12	0	0	5	9	286	2	5	60	3	25	7	0	33	0	1	2	5	0	0	3	11	7	0	20	0	0	0	17	0	0	14	4	13	14	0	1	6	0	7	8	11	2	0	2	0	1	5	2	1	2	0	0	2	1	8	19	2	0	5	3	0	9	0	24	10	1	2	0	16	1	10	4	1	2	8	0	2	5	1	0	1	1	0	1
CC01C	1	3	2	20	7	3	1	5	9	26	0	1	0	10	0	0	1	59	0	27	2	2	0	0	0	7	3	49	0	0	40	0	0	0	0	2	0	66	1	114	2	7	32	31	0	13	2	81	4	42	4	1	0	15	27	0	3	1	164	0	30	4	18	0	3	14	3	0	36	0	0	12	0	7	26	1	81	5	28	0	0	31	3	0	223	0	2	0	1	1	1	4	14	5	0	4	0	0	1	7	2	1	24	6	2	2	1	1	2	0	3	2	7	2	0	2	0	23	14	0	0	128	0	0	0	0	44	164	28	0	2	13	0	24	0	3	4	0	0	2	2	0	2	1	0	2	10	0	0	6	2	2	0	2	0	1
CC01D	1	4	1	15	2	0	0	4	11	13	1	0	2	7	0	1	3	35	0	13	6	0	1	0	0	11	0	27	0	0	4	5	5	1	0	1	2	16	2	226	0	3	55	158	0	43	1	93	10	1	0	0	4	26	11	0	3	1	53	3	4	3	0	0	3	9	8	1	172	2	1	35	0	24	17	19	249	12	1	7	4	5	4	0	584	1	1	6	6	1	1	10	9	19	0	4	1	0	0	19	20	1	41	1	4	7	3	1	7	0	2	9	7	7	0	0	0	1	9	2	0	26	0	0	1	0	9	6	0	1	0	5	1	21	0	51	12	1	1	1	23	1	5	3	0	7	16	0	1	5	0	2	0	3	0	1
CC02B	1	1	4	3	2	0	4	5	22	24	0	1	0	5	0	2	1	13	0	4	1	6	0	2	0	5	0	10	0	1	12	41	2	0	0	1	0	23	0	62	3	5	47	38	0	53	1	86	11	1	1	0	1	46	8	0	0	0	96	1	8	7	2	0	1	1	9	0	45	1	0	17	0	1	64	18	118	2	144	1	2	15	2	0	79	0	1	2	0	0	0	9	0	5	0	1	0	0	0	10	102	1	15	5	1	44	0	2	9	0	2	1	2	5	0	3	1	21	7	3	4	3	0	0	0	0	23	29	7	0	1	3	0	2	0	114	6	0	1	0	0	3	0	1	0	5	9	0	0	3	1	0	0	1	0	1
CC02C	0	0	2	1	0	0	0	3	5	0	13	0	0	2	1	1	0	6	0	0	7	0	0	0	0	3	0	12	0	0	2	0	1	0	1	1	0	0	1	23	6	0	14	104	0	4	0	42	1	13	0	1	3	48	1	0	0	0	75	0	0	2	1	2	0	0	1	0	60	0	0	21	1	0	0	0	68	16	0	0	2	1	5	0	51	0	0	1	0	0	1	0	0	11	0	0	4	1	4	26	0	0	16	12	4	6	0	0	20	0	0	0	2	10	0	0	0	0	0	3	2	2	1	0	1	0	0	3	0	0	0	1	0	1	0	29	1	0	0	0	10	1	8	1	0	13	0	0	8	1	0	0	0	2	0	1
CC02D	1	12	0	1	1	1	4	3	7	12	1	0	0	5	1	0	0	11	0	57	4	0	1	0	0	28	0	21	1	2	0	31	1	0	1	0	1	5	0	69	1	2	24	151	0	4	30	95	3	23	0	0	1	29	3	0	0	0	51	0	2	3	1	1	1	4	1	0	147	0	0	31	1	0	5	0	279	8	1	0	1	0	6	1	143	0	0	0	0	1	1	13	2	9	1	1	0	0	0	7	1	4	9	2	1	9	4	4	11	1	3	1	2	1	0	3	0	0	0	4	0	3	0	0	0	2	5	277	0	1	0	2	1	12	1	56	0	0	1	0	337	0	4	0	1	5	1	2	3	0	0	0	1	3	0	1
CC03B	0	0	2	28	0	1	0	3	6	1	0	0	0	0	0	1	1	1	4	2	4	0	1	0	0	10	0	437	1	2	3	0	4	0	1	3	0	4	0	18	2	1	32	164	1	10	1	37	1	5	0	1	0	17	2	0	0	0	614	3	0	0	0	0	0	2	3	0	252	1	0	23	1	0	1	0	179	1	0	2	0	2	3	1	272	0	0	0	0	0	0	0	2	3	0	10	3	0	2	4	1	0	19	5	2	23	0	0	9	0	2	0	0	4	1	1	0	6	0	3	2	3	0	0	0	0	1	2	1	1	0	1	0	5	0	17	1	1	0	3	83	2	0	0	6	2	0	3	0	0	0	0	0	1	0	1
CC03C	0	0	4	10	2	1	0	17	40	2	0	1	0	10	0	0	1	52	1	24	0	0	2	0	2	12	0	758	1	1	2	0	2	0	0	1	2	156	1	238	0	9	26	33	2	56	0	84	4	1	0	2	1	11	6	0	2	1	310	1	8	2	1	0	1	2	6	0	99	0	1	26	0	1	0	0	28	3	1	0	3	7	0	0	201	0	1	3	3	0	0	1	20	20	0	1	1	0	0	9	22	0	11	3	4	63	0	1	4	0	0	0	1	5	1	0	0	18	0	0	2	7	0	0	1	0	9	8	0	2	0	4	0	15	0	21	1	0	0	0	160	0	0	0	6	7	5	1	0	24	0	0	0	2	0	1
CC03D	0	2	5	6	1	2	2	16	15	4	0	0	0	19	0	1	1	38	4	39	0	1	5	0	4	29	0	1564	0	0	16	0	4	2	1	0	13	33	0	332	1	2	39	101	3	69	2	105	2	19	2	0	2	6	15	0	5	1	482	2	0	2	6	0	15	15	8	0	316	3	0	24	0	1	3	1	40	4	2	1	1	14	3	1	712	1	3	0	5	1	0	3	78	10	0	1	0	0	4	20	28	0	15	3	5	23	1	4	7	0	0	9	0	1	5	0	0	13	0	2	4	0	0	7	2	0	4	6	69	4	2	1	1	13	0	29	46	0	0	1	212	2	1	0	11	2	47	3	0	2	0	1	0	3	0	1
CC04B	0	0	1	2	1	0	1	6	10	20	1	0	0	5	0	0	0	40	0	46	2	3	1	0	0	9	0	16	0	0	3	21	6	0	0	2	0	13	0	160	0	4	67	289	0	26	0	155	3	8	2	1	4	55	7	1	4	3	246	2	0	4	0	0	1	12	11	0	136	1	2	42	0	1	1	0	44	9	0	1	1	5	14	0	204	0	3	4	2	0	2	14	59	20	0	36	1	0	1	15	1	2	59	0	20	49	2	1	8	0	8	3	3	24	0	0	0	3	0	1	1	6	1	1	2	0	19	18	0	0	2	1	2	19	0	46	0	1	0	1	104	4	0	1	0	8	0	7	2	7	4	0	0	1	0	1
